ID,Time,API Call ID,Function Name,FADD.avg [inst],FADD.max [inst],FADD.min [inst],FADD.sum [inst],FFMA.avg [inst],FFMA.max [inst],FFMA.min [inst],FFMA.sum [inst],FMUL.avg [inst],FMUL.max [inst],FMUL.min [inst],FMUL.sum [inst]
88,2025-Nov-03 14:46:26,988,find_extrema_in_dog,5375.72,5976,4490,172023,55.62,156,0,1780,1969.28,2185,1664,63017
89,2025-Nov-03 14:46:27,991,find_extrema_in_dog,1513.16,1704,1226,48421,24.84,111,0,795,500.31,550,420,16010
90,2025-Nov-03 14:46:28,994,find_extrema_in_dog,411.31,602,318,13162,10.28,149,0,329,128.34,249,96,4107
91,2025-Nov-03 14:46:29,997,find_extrema_in_dog,213.69,296,126,6838,1.91,61,0,61,61.12,100,32,1956
92,2025-Nov-03 14:46:31,1003,ori_par,205.34,6571,0,6571,203.59,6515,0,6515,110.41,3533,0,3533
93,2025-Nov-03 14:46:32,1007,ori_par,495.75,8286,0,15864,479.44,7971,0,15342,267.75,4509,0,8568
94,2025-Nov-03 14:46:33,1011,ori_par,2287.5,24390,0,73200,2069.78,21465,0,66233,1267.03,13747,0,40545
95,2025-Nov-03 14:46:35,1015,ori_par,2609.34,15479,0,83499,2373.75,13762,0,75960,1410.25,8436,0,45128
96,2025-Nov-03 14:46:36,1019,ori_par,14963.88,34143,6862,478844,13413.22,30419,6618,429223,8080.12,18856,3560,258564
97,2025-Nov-03 14:46:37,1023,ori_par,46947.41,72765,39116,1502317,41596,63061,35479,1331072,25535.69,40219,21328,817142
98,2025-Nov-03 14:46:39,1027,ori_par,89125.94,114004,45422,2852030,78527.62,100663,41478,2512884,47453.09,61089,24453,1518499
99,2025-Nov-03 14:46:40,1030,ori_prefix_sum,0,0,0,0,0,0,0,0,0,0,0,0
100,2025-Nov-03 14:46:41,1036,ext_desc_vlfeat,533.03,17057,0,17057,311.25,9960,0,9960,339.06,10850,0,10850
101,2025-Nov-03 14:46:43,1040,ext_desc_vlfeat,2553.06,41248,0,81698,1356,22880,0,43392,1589.12,26234,0,50852
102,2025-Nov-03 14:46:44,1044,ext_desc_vlfeat,24024.56,159086,0,768786,13280.75,86208,0,424984,15181.47,98684,0,485807
103,2025-Nov-03 14:46:46,1048,ext_desc_vlfeat,31175.62,166600,0,997620,21143.12,113484,0,676580,21063.38,113051,0,674028
104,2025-Nov-03 14:46:47,1052,ext_desc_vlfeat,159553.25,347643,48524,5105704,104891.38,236004,32528,3356524,107024.47,234075,32668,3424783
105,2025-Nov-03 14:46:49,1056,ext_desc_vlfeat,529247.5,796214,331283,16935920,346379.5,532452,216860,11084144,353277.06,539542,223857,11304866
106,2025-Nov-03 14:46:51,1060,ext_desc_vlfeat,971117.06,1225918,705270,31075746,637800.75,803792,462056,20409624,646505.16,810928,473690,20688165
107,2025-Nov-03 14:46:52,1065,normalize_histogram,3567.34,4518,2166,114155,2849.31,3832,1584,91178,5761.31,7416,3376,184362
108,2025-Nov-03 14:46:53,1074,prep_features,48,192,0,1536,152,608,0,4864,81,288,0,2592
109,2025-Nov-03 14:46:55,1093,horiz,768000,801920,717440,24576000,1804800,1884512,1685984,57753600,38400,40096,35872,1228800
110,2025-Nov-03 14:46:56,1095,vert,537600,568064,500864,17203200,499200,527488,465088,15974400,0,0,0,0
111,2025-Nov-03 14:46:57,1097,horiz,384000,395520,363520,12288000,268800,276864,254464,8601600,0,0,0,0
112,2025-Nov-03 14:46:59,1099,vert,537600,575232,506688,17203200,499200,534144,470496,15974400,0,0,0,0
113,2025-Nov-03 14:47:00,1101,horiz,460800,485376,447744,14745600,345600,364032,335808,11059200,0,0,0,0
114,2025-Nov-03 14:47:01,1103,vert,691200,726912,644544,22118400,652800,686528,608736,20889600,0,0,0,0
115,2025-Nov-03 14:47:03,1105,horiz,499200,519168,489216,15974400,384000,399360,376320,12288000,0,0,0,0
116,2025-Nov-03 14:47:04,1107,vert,768000,816640,727680,24576000,729600,775808,691296,23347200,0,0,0,0
117,2025-Nov-03 14:47:05,1110,horiz,576000,604800,560640,18432000,460800,483840,448512,14745600,0,0,0,0
118,2025-Nov-03 14:47:07,1112,vert,921600,979968,871680,29491200,883200,939136,835360,28262400,0,0,0,0
119,2025-Nov-03 14:47:08,1114,horiz,691200,718848,673920,22118400,576000,599040,561600,18432000,0,0,0,0
120,2025-Nov-03 14:47:09,1116,vert,1152000,1224000,1092480,36864000,1113600,1183200,1056064,35635200,0,0,0,0
121,2025-Nov-03 14:47:11,1119,get_by_2_pick_every_second,19200,20288,18368,614400,0,0,0,0,0,0,0,0
122,2025-Nov-03 14:47:12,1121,horiz,96000,100480,93440,3072000,67200,70336,65408,2150400,0,0,0,0
123,2025-Nov-03 14:47:13,1123,vert,143360,152768,135744,4587520,133120,141856,126048,4259840,0,0,0,0
124,2025-Nov-03 14:47:15,1125,horiz,115200,118272,109056,3686400,86400,88704,81792,2764800,0,0,0,0
125,2025-Nov-03 14:47:16,1127,vert,184320,194688,171648,5898240,174080,183872,162112,5570560,0,0,0,0
126,2025-Nov-03 14:47:17,1129,horiz,124800,128128,118144,3993600,96000,98560,90880,3072000,0,0,0,0
127,2025-Nov-03 14:47:18,1131,vert,204800,217600,193280,6553600,194560,206720,183616,6225920,0,0,0,0
128,2025-Nov-03 14:47:20,1134,horiz,144000,150720,140160,4608000,115200,120576,112128,3686400,0,0,0,0
129,2025-Nov-03 14:47:21,1136,vert,245760,257280,229632,7864320,235520,246560,220064,7536640,0,0,0,0
130,2025-Nov-03 14:47:22,1138,horiz,172800,177408,163584,5529600,144000,147840,136320,4608000,0,0,0,0
131,2025-Nov-03 14:47:23,1140,vert,307200,321600,288960,9830400,296960,310880,279328,9502720,0,0,0,0
132,2025-Nov-03 14:47:25,1143,get_by_2_pick_every_second,4800,4992,4480,153600,0,0,0,0,0,0,0,0
133,2025-Nov-03 14:47:26,1145,horiz,25600,26880,24960,819200,17920,18816,17472,573440,0,0,0,0
134,2025-Nov-03 14:47:27,1147,vert,35840,37632,34048,1146880,33280,34944,31616,1064960,0,0,0,0
135,2025-Nov-03 14:47:28,1149,horiz,30720,31488,29184,983040,23040,23616,21888,737280,0,0,0,0
136,2025-Nov-03 14:47:30,1151,vert,46080,48384,43200,1474560,43520,45696,40800,1392640,0,0,0,0
137,2025-Nov-03 14:47:31,1153,horiz,33280,34112,32448,1064960,25600,26240,24960,819200,0,0,0,0
138,2025-Nov-03 14:47:32,1155,vert,51200,53760,47360,1638400,48640,51072,44992,1556480,0,0,0,0
139,2025-Nov-03 14:47:33,1158,horiz,38400,39360,36480,1228800,30720,31488,29184,983040,0,0,0,0
140,2025-Nov-03 14:47:35,1160,vert,61440,65280,58368,1966080,58880,62560,55936,1884160,0,0,0,0
141,2025-Nov-03 14:47:36,1162,horiz,46080,47232,44928,1474560,38400,39360,37440,1228800,0,0,0,0
142,2025-Nov-03 14:47:37,1164,vert,76800,81600,71040,2457600,74240,78880,68672,2375680,0,0,0,0
143,2025-Nov-03 14:47:38,1167,get_by_2_pick_every_second,1200,1456,912,38400,0,0,0,0,0,0,0,0
144,2025-Nov-03 14:47:39,1169,horiz,6400,6400,6400,204800,4480,4480,4480,143360,0,0,0,0
145,2025-Nov-03 14:47:41,1171,vert,8960,8960,8960,286720,8320,8320,8320,266240,0,0,0,0
146,2025-Nov-03 14:47:42,1173,horiz,7680,7680,7680,245760,5760,5760,5760,184320,0,0,0,0
147,2025-Nov-03 14:47:43,1175,vert,11520,12096,10944,368640,10880,11424,10336,348160,0,0,0,0
148,2025-Nov-03 14:47:44,1177,horiz,8320,8320,8320,266240,6400,6400,6400,204800,0,0,0,0
149,2025-Nov-03 14:47:45,1179,vert,12800,12800,12800,409600,12160,12160,12160,389120,0,0,0,0
150,2025-Nov-03 14:47:46,1182,horiz,9600,9600,9600,307200,7680,7680,7680,245760,0,0,0,0
151,2025-Nov-03 14:47:48,1184,vert,15360,15360,15360,491520,14720,14720,14720,471040,0,0,0,0
152,2025-Nov-03 14:47:49,1186,horiz,11520,11520,11520,368640,9600,9600,9600,307200,0,0,0,0
153,2025-Nov-03 14:47:50,1188,vert,19200,20160,18240,614400,18560,19488,17632,593920,0,0,0,0
